,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.25
1,20,1.0,199,4000,0.19
2,20,0.0,299,6000,0.25
3,20,0.0,399,8000,0.28
4,20,0.0,499,10000,0.19
5,20,0.0,599,12000,0.18
6,20,0.0,699,14000,0.29
7,20,1.0,799,16000,0.37
8,20,1.0,899,18000,0.34
9,20,1.0,999,20000,0.46
10,20,0.0,1099,22000,0.38
11,20,0.0,1199,24000,0.41
12,20,1.0,1299,26000,0.51
13,20,0.0,1399,28000,0.41
14,20,0.0,1499,30000,0.43
15,20,1.0,1599,32000,0.44
16,20,0.0,1699,34000,0.4
17,20,0.0,1799,36000,0.46
18,20,1.0,1899,38000,0.43
19,20,0.0,1999,40000,0.51
20,20,1.0,2099,42000,0.43
21,20,0.0,2199,44000,0.58
22,20,1.0,2299,46000,0.4
23,20,0.0,2399,48000,0.53
24,20,0.0,2499,50000,0.49
25,20,0.0,2599,52000,0.5
26,20,0.0,2699,54000,0.41
27,20,1.0,2799,56000,0.55
28,20,0.0,2899,58000,0.44
29,20,1.0,2999,60000,0.5
30,20,0.0,3099,62000,0.4
31,20,1.0,3199,64000,0.55
32,20,1.0,3299,66000,0.48
33,20,1.0,3399,68000,0.49
34,20,1.0,3499,70000,0.48
35,20,1.0,3599,72000,0.53
36,20,0.0,3699,74000,0.56
37,20,0.0,3799,76000,0.58
38,20,0.0,3899,78000,0.55
39,20,1.0,3999,80000,0.57
40,20,1.0,4099,82000,0.52
41,20,0.0,4199,84000,0.55
42,20,0.0,4299,86000,0.6
43,20,1.0,4399,88000,0.52
44,20,1.0,4499,90000,0.51
45,20,1.0,4599,92000,0.47
46,20,1.0,4699,94000,0.58
47,20,1.0,4799,96000,0.49
48,20,0.0,4899,98000,0.53
49,20,0.0,4999,100000,0.59
