,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.05
1,20,0.0,199,4000,0.05
2,20,1.0,299,6000,0.18
3,20,0.0,399,8000,0.2
4,20,0.0,499,10000,0.31
5,20,1.0,599,12000,0.53
6,20,1.0,699,14000,0.54
7,20,0.0,799,16000,0.74
8,20,1.0,899,18000,0.86
9,20,2.0,999,20000,0.81
10,20,1.0,1099,22000,0.87
11,20,2.0,1199,24000,0.93
12,20,1.0,1299,26000,0.9
13,20,1.0,1399,28000,1.06
14,20,1.0,1499,30000,0.92
15,20,1.0,1599,32000,0.96
16,20,1.0,1699,34000,1.1
17,20,1.0,1799,36000,1.07
18,20,2.0,1899,38000,1.14
19,20,1.0,1999,40000,1.18
20,20,1.0,2099,42000,1.19
21,20,1.0,2199,44000,1.1
22,20,1.0,2299,46000,1.17
23,20,2.0,2399,48000,1.22
24,20,1.0,2499,50000,1.0
25,20,2.0,2599,52000,1.23
26,20,1.0,2699,54000,1.18
27,20,1.0,2799,56000,1.33
28,20,1.0,2899,58000,0.88
29,20,1.0,2999,60000,1.23
30,20,-1.0,3099,62000,1.17
31,20,1.0,3199,64000,1.25
32,20,1.0,3299,66000,1.08
33,20,1.0,3399,68000,1.18
34,20,2.0,3499,70000,1.14
35,20,2.0,3599,72000,1.26
36,20,0.0,3699,74000,1.23
37,20,2.0,3799,76000,1.24
38,20,1.0,3899,78000,1.24
39,20,1.0,3999,80000,1.2
40,20,2.0,4099,82000,1.16
41,20,2.0,4199,84000,1.25
42,20,1.0,4299,86000,1.36
43,20,2.0,4399,88000,1.27
44,20,1.0,4499,90000,1.37
45,20,0.0,4599,92000,1.2
46,20,0.0,4699,94000,1.23
47,20,1.0,4799,96000,1.09
48,20,2.0,4899,98000,1.19
49,20,1.0,4999,100000,1.26
